ids,clsids,expect_college,expect_edu_raw,linking_idx,teacher_praise,teacher_talk,bonding_idx,hukou_type,cog_score,ses_self,ses_pca,ses_pca_group,parent_edu_max,family_econ,home_books,has_desk,has_computer
18517,423,1.0,8.0,-0.8193625005465031,2.333333333333333,0.0,-0.2123636179914662,1.0,25,1964.0,1.747245753632221,1,6.0,3.0,5.0,1.0,0.0
18518,423,1.0,8.0,-2.4316829047682487,1.0,0.0,-0.2123636179914662,0.0,24,1967.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
18519,423,1.0,9.0,1.3860479617255104,2.333333333333333,1.0,0.2873689629117474,0.0,31,1971.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
18520,423,1.0,7.0,-1.2224426016019396,2.0,0.0,-0.7120961988946796,0.0,28,1971.0,0.4108485888564801,1,7.0,2.0,3.0,1.0,0.0
18521,423,1.0,9.0,-0.8193625005465031,2.333333333333333,0.0,0.7871015438149604,0.0,27,1973.0,1.320932586537549,1,8.0,3.0,3.0,1.0,0.0
18522,423,1.0,9.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,0.0,22,1973.0,0.6531828182388272,1,7.0,3.0,2.0,1.0,0.0
18523,423,1.0,8.0,-2.4316829047682487,1.0,0.0,-0.7120961988946796,0.0,26,1969.0,2.8846263436889834,1,8.0,4.0,5.0,1.0,0.0
18524,423,1.0,9.0,1.196038004730679,4.0,0.0,1.286834124718174,0.0,14,1973.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
18525,423,1.0,8.0,1.196038004730679,4.0,0.0,0.7871015438149604,0.0,23,1972.0,0.624005172403816,1,6.0,2.0,4.0,1.0,0.0
18526,423,1.0,7.0,-0.0132022984356304,3.0,0.0,-0.7120961988946796,0.0,27,1969.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
18527,423,1.0,8.0,-0.416282399491067,2.6666666666666665,0.0,0.2873689629117474,0.0,26,1972.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
18528,423,0.0,6.0,-2.4316829047682487,1.0,0.0,-0.2123636179914662,0.0,18,1970.0,-0.06369553164801936,0,7.0,3.0,3.0,1.0,1.0
18529,423,1.0,9.0,-1.2224426016019396,2.0,0.0,0.7871015438149604,0.0,17,1973.0,1.776423399467232,1,7.0,4.0,3.0,1.0,0.0
18530,423,1.0,7.0,-0.0132022984356304,3.0,0.0,-0.2123636179914662,0.0,20,1970.0,-0.043744595894906035,0,5.0,2.0,3.0,1.0,0.0
18531,423,1.0,7.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,1.0,15,1978.0,1.9886823548362713,1,9.0,3.0,4.0,1.0,0.0
18532,423,0.0,6.0,-1.2224426016019396,2.0,0.0,-1.2118287797978933,0.0,21,1974.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
18533,423,1.0,9.0,-0.8193625005465031,2.333333333333333,0.0,-0.2123636179914662,0.0,31,0.0,0.4117462170347769,1,4.0,3.0,3.0,1.0,0.0
18534,423,1.0,8.0,3.401448467002692,4.0,1.0,1.286834124718174,0.0,22,1975.0,1.747245753632221,1,6.0,3.0,5.0,1.0,0.0
18535,423,1.0,9.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,0.0,29,1972.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
18536,423,1.0,7.0,-1.2224426016019396,2.0,0.0,-1.2118287797978933,0.0,16,2.0,0.8663394017861631,1,6.0,3.0,3.0,1.0,0.0
18537,423,1.0,7.0,0.9829678606700738,2.0,1.0,0.2873689629117474,0.0,23,1970.0,1.093635994161856,1,7.0,3.0,3.0,1.0,0.0
18538,423,1.0,9.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,0.0,33,1965.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
18539,423,1.0,8.0,-2.028602803712812,1.3333333333333333,0.0,-0.7120961988946796,0.0,21,1973.0,2.0037199918429254,1,8.0,4.0,3.0,1.0,0.0
18540,423,1.0,8.0,0.9829678606700738,2.0,1.0,-0.2123636179914662,0.0,22,1971.0,-0.24186354243558794,0,5.0,3.0,1.0,1.0,0.0
18541,423,1.0,9.0,0.9829678606700738,2.0,1.0,-0.7120961988946796,0.0,26,1974.0,1.747245753632221,1,6.0,3.0,5.0,1.0,0.0
18542,423,1.0,9.0,-0.8193625005465031,2.333333333333333,0.0,-1.2118287797978933,0.0,30,1974.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
18543,423,1.0,9.0,-2.4316829047682487,1.0,0.0,0.7871015438149604,1.0,26,1969.0,-0.484197771817935,0,5.0,2.0,2.0,1.0,0.0
18544,423,0.0,6.0,-1.2224426016019396,2.0,0.0,-1.2118287797978933,0.0,29,1970.0,1.747245753632221,1,6.0,3.0,5.0,1.0,0.0
18545,423,1.0,9.0,-2.4316829047682487,1.0,0.0,-1.7115613607011066,0.0,27,1964.0,1.320932586537549,1,8.0,3.0,3.0,1.0,0.0
18546,423,1.0,10.0,1.3860479617255104,2.333333333333333,1.0,-0.2123636179914662,0.0,17,1974.0,1.9745423460079141,1,7.0,3.0,5.0,1.0,0.0
18547,423,1.0,7.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,0.0,18,1969.0,1.519949161256528,1,5.0,3.0,5.0,1.0,0.0
18548,423,1.0,7.0,0.5798877596146376,1.6666666666666667,1.0,0.2873689629117474,0.0,27,1966.0,1.306792577709192,1,6.0,3.0,4.0,1.0,0.0
18549,423,1.0,8.0,-0.8193625005465031,2.333333333333333,0.0,-0.2123636179914662,0.0,23,1970.0,1.534089170084885,1,7.0,3.0,4.0,1.0,0.0
18550,423,1.0,7.0,-1.2224426016019396,2.0,0.0,-1.2118287797978933,0.0,17,1970.0,1.747245753632221,1,6.0,3.0,5.0,1.0,0.0
18552,423,0.0,6.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,0.0,21,1972.0,1.0445074125737315,1,8.0,3.0,5.0,1.0,1.0
18553,423,0.0,6.0,0.9829678606700738,2.0,1.0,0.7871015438149604,0.0,22,1972.0,1.0653559765051417,1,3.0,3.0,5.0,1.0,0.0
18554,423,1.0,7.0,-0.0132022984356304,3.0,0.0,0.2873689629117474,0.0,18,1973.0,2.430033158937597,1,6.0,4.0,5.0,1.0,0.0
18555,423,1.0,7.0,3.401448467002692,4.0,1.0,0.2873689629117474,0.0,28,1972.0,0.6531828182388272,1,7.0,3.0,2.0,1.0,0.0
18557,423,1.0,7.0,-1.625522702657376,1.6666666666666667,0.0,0.2873689629117474,0.0,25,1972.0,-0.06369553164801936,0,7.0,3.0,3.0,1.0,1.0
18558,423,0.0,6.0,-1.625522702657376,1.6666666666666667,0.0,-0.2123636179914662,0.0,15,1963.0,2.2018389383836072,1,8.0,3.0,5.0,1.0,0.0
18559,423,0.0,6.0,-1.2224426016019396,2.0,0.0,-1.2118287797978933,0.0,16,0.0,1.989579983014568,1,6.0,4.0,4.0,1.0,0.0
18561,423,1.0,9.0,-0.0132022984356304,3.0,0.0,0.7871015438149604,0.0,14,1972.0,1.7613857624605782,1,8.0,3.0,4.0,1.0,0.0
